Column1;_8;_9
郵便[ゆうびん];さっき ゆうびん が とどきました;Le courrier vient d'arriver.
砂漠[さばく];さばく で は ほとんど あめ が ふらない の よ;Il pleut à peine dans le désert.
凍る[こおる];さむい あさ は どうろ が こおります;Les routes gèlent les matins froids.
交換[こうかん];しあい の あいて と ゆにふぉーむ を こうかん した よ;Nous avons échangé des uniformes avec l'équipe adverse au tapis
有利[ゆうり];しかく が ある と しゅうしょく に ゆうり です;Il est avantageux d'avoir des qualifications lors de la recherche d'emploi.
省く[はぶく];じかん が ない の で しょうさい は はぶきます;Je vais omettre les détails car il n'y a pas de temps.
現場[げんば];じこ げんば に は はいれません;Vous ne pouvez pas entrer sur les lieux de l'accident.
後[あと];しごと の あと えいが を みた;J'ai vu un film après le travail.
完了[かんりょう];しごと は すべて かんりょう しました;J'ai terminé tout le travail.
端[はし];じしょ は ほんだな の はし に あります;Le dictionnaire est au bout de la bibliothèque.
混乱[こんらん];じしん の あと まち は だいこんらん だった よ;Après le tremblement de terre, la ville était en pandémonium.
舌[した];した を だして ください;Tire la langue.
支度[じたく];したく が できたら でかけましょう;Sortons quand nous serons prêts.
離れる[はなれる];じっか を 4 ねんかん はなれて いました;J'ai été absent de la maison de mes parents pendant 4 ans.
納める[おさめる];じどうしゃぜい を おさめた よ;J'ai payé ma taxe automobile.
芝生[しばふ];しばふ が よく ていれ されて います ね;La pelouse est bien entretenue.
自身[じしん];じぶん じしん を うたがって は いけません;Ne doutez pas de vous.
処理[しょり];じむてき な しょり に いっしゅうかん かかります;Le traitement administratif prend une semaine.
合図[あいず];しゃしょう が はっしゃ の あいず を した よ;Le conducteur a donné le signal du départ.
額[がく];しゃしん を がく に いれて かざった ん だ;J'ai mis la photo dans un cadre et je l'ai accrochée.
撮る[とる];しゃしん を たくさん とりました;J'ai pris beaucoup de photos.
宗教[しゅうきょう];しゅうきょう を もたない ひと も たくさん いる わ;Il y a aussi beaucoup de gens qui n'ont pas de religion.
余裕[よゆう];しゅっぱつ まで じかん の よゆう が あります;Il reste beaucoup de temps jusqu'au départ.
延ばす[のばす];しゅっぱつ を いっしゅうかん のばした の;J'ai retardé mon départ d'une semaine.
主婦[しゅふ];しゅふ の おも な しごと は かじ よ;La tâche principale d'une femme au foyer est le travail domestique.
劇[げき];しょうがっこう で こどもたち の げき を みました;J'ai vu une pièce de théâtre pour enfants dans une école primaire.
述べる[のべる];じょうし が いけん を のべた;Notre patron nous a donné son avis.
譲る[ゆずる];じょうし が くるま を ゆずって くれた の;Mon patron m'a donné sa voiture.
主張[しゅちょう];じょうし は わたし の しゅちょう を うけいれた;Mon patron a accepté mon argument.
少女[しょうじょ];しょうじょ は ははおや の て を にぎった;La jeune fille serra la main de sa mère.
握る[にぎる];しょうじょ は ははおや の て を にぎった;La jeune fille serra la main de sa mère.
冗談[じょうだん];じょうだん は やめて ください;S'il vous plaît arrêtez de plaisanter.
上等[じょうとう];じょうとう な わいん を のんだ の;Nous avons bu du bon vin.
商人[しょうにん];しょうにん は すうじ に つよい ね;Les hommes d'affaires sont bons avec les chiffres.
少年[しょうねん];しょうねんたち が さっかー を して いる;Les garçons jouent au foot.
消防[しょうぼう];しょうぼうし は ゆうかん で なけれ ば ならない;Les pompiers doivent être courageux.
余分[よぶん];しょくじ は よぶん に ようい して あります;J'ai préparé des portions supplémentaires pour le repas.
食卓[しょくたく];しょくたく に はな を かざりましょう;Décorons la table à manger avec des fleurs.
正[せい];しょるい は せい と ふく の につう あります;Le document se compose de l'original et d'une copie.
助手[じょしゅ];しりょう は じょしゅ に あずけて おいて ください;Veuillez remettre le matériel à mon assistant.
白[しろ];しろ は ゆき の いろ です;Le blanc est la couleur de la neige.
学期[がっき];しんがっき が はじまった ね;Un nouveau semestre a commencé.
信仰[しんこう];しんこう は こころ の ささえ です;La foi élève l'esprit.
必ずしも[かならずしも];しんせつ は かならずしも よろこばれる わけ で は ない;La gentillesse ne plaît pas tout le temps aux gens.
身長[しんちょう];しんちょう は どれ くらい あります か;Quelle est votre taille?
人類[じんるい];じんるい は にほん の あし で あるきます;Les humains marchent sur deux pieds.
数字[すうじ];すうじ は にがて です;Je ne suis pas bon avec les chiffres.
膝[ひざ];すきー で ひざ を けがしました;Je me suis blessé au genou en skiant.
順調[じゅんちょう];すすみ ぐあい は すべて じゅんちょう です;Tout avance bien.
勧める[すすめる];すすめられて ほしく も ない もの を かっちゃった よ;Sur les conseils de quelqu'un, j'ai fini par acheter quelque chose dont je ne voulais pas.
幕[まく];すてーじ の まく が あがった ん だ;Le rideau de scène s'est levé.
伸ばす[のばす];すとれっち で きんにく を のばしましょう;Étirons nos muscles avec des exercices.
夫人[ふじん];すみすふじん が いらっしゃいました;Mme Smith est venue.
鋭い[するどい];するどい はもの で ゆび を けが した;Je me suis blessé le doigt avec le couteau pointu.
正式[せいしき];せいしき な しょうたいじょう を うけとりました;J'ai reçu une invitation officielle.
利益[りえき];せんげつ の りえき は 200 まんえん でした;Le bénéfice du mois dernier était de deux millions de yens.
独立[どくりつ];せんじつ かいしゃ から どくりつ しました;J'ai créé ma propre entreprise l'autre jour.
礼[れい];せんせい に おれい の てがみ を かきました;J'ai écrit une lettre de remerciement à mon professeur.
下りる[おりる];そこ の かいだん を おりて ください;Veuillez descendre ces escaliers.
衝突[しょうとつ];そこ の かど で くるま どうし が しょうとつ した の よ;Les voitures se sont percutées au coin de la rue.
而して[そして];そして、もう一度廊下を見た。;Puis, je regardai à nouveau le couloir.
批評[ひひょう];その えいが は よい ひひょう を えて いる ん だ;Le film a été acclamé par la critique.
汚染[おせん];その かわ の みず は おせん されて います;L'eau de cette rivière est polluée.
刺激[しげき];その くいずばんぐみ は のう を しげき する ね;Le jeu-questionnaire stimule le cerveau.
援助[えんじょ];その くに に は ぶっし の えんじょ が ひつよう です;Ce pays a besoin d'une aide substantielle.
中央[ちゅうおう];その こうえん は まち の ほぼ ちゅうおう に いち する ん だ;Le parc est situé presque au centre de la ville.
死亡[しぼう];その じこ で は ふたり しぼう した の;Deux personnes sont mortes dans cet accident.
厚い[あつい];その じしょ は とても あつい;Ce dictionnaire est très épais.
率[りつ];その しゅじゅつ の せいこうりつ は 90% だ そう です;Apparemment, le taux de réussite de l'opération est de 90 %.
瞬間[しゅんかん];その しゅんかん ねこ が とびだしました;A cet instant, le chat s'enfuit.
含む[ふくむ];その しょくひん は ゆうがい ぶっしつ を ふくんで いる ぞ;La nourriture contient une substance toxique.
粉[こな];その しろい こな は あかちゃん の みるく です;La poudre blanche est du lait de bébé.
